;HumanDevelopmentIndex(HDI);Lifeexpectancyatbirth;Expectedyearsofschooling;Meanyearsofschooling;Grossnationalincome(GNI)percapita;GNIpercapitarankminusHDIrank
Norway;0.944;81.6;17.5;12.6;64992;5
Australia;0.935;82.4;20.2;13.0;42261;17
Switzerland;0.930;83.0;15.8;12.8;56431;6
Denmark;0.923;80.2;18.7;12.7;44025;11
Netherlands;0.922;81.6;17.9;11.9;45435;9
Germany;0.916;80.9;16.5;13.1;43919;11
Ireland;0.916;80.9;18.6;12.2;39568;16
UnitedStates;0.915;79.1;16.5;12.9;52947;3
Canada;0.913;82.0;15.9;13.0;42155;11
NewZealand;0.913;81.8;19.2;12.5;32689;23
Singapore;0.912;83.0;15.4;10.6;76628;-7
HongKong.China(SAR);0.910;84.0;15.6;11.2;53959;-2
Liechtenstein;0.908;80.0;15.0;11.8;79851;-10
Sweden;0.907;82.2;15.8;12.1;45636;-1
UnitedKingdom;0.907;80.7;16.2;13.1;39267;9
Iceland;0.899;82.6;19.0;10.6;35182;12
Korea(Republicof);0.898;81.9;16.9;11.9;33890;13
Israel;0.894;82.4;16.0;12.5;30676;16
Luxembourg;0.892;81.7;13.9;11.7;58711;-11
Japan;0.891;83.5;15.3;11.5;36927;7
Belgium;0.890;80.8;16.3;11.3;41187;0
France;0.888;82.2;16.0;11.1;38056;4
Austria;0.885;81.4;15.7;10.8;43869;-5
Finland;0.883;80.8;17.1;10.3;38695;0
Slovenia;0.880;80.4;16.8;11.9;27852;12
Spain;0.876;82.6;17.3;9.6;32045;7
Italy;0.873;83.1;16.0;10.1;33030;4
CzechRepublic;0.870;78.6;16.4;12.3;26660;10
Greece;0.865;80.9;17.6;10.3;24524;14
Estonia;0.861;76.8;16.5;12.5;25214;12
BruneiDarussalam;0.856;78.8;14.5;8.8;72570;-26
Cyprus;0.850;80.2;14.0;11.6;28633;3
Qatar;0.850;78.2;13.8;9.1;123124;-31
Andorra;0.845;81.3;13.5;9.6;43978;-18
Slovakia;0.844;76.3;15.1;12.2;25845;5
Poland;0.843;77.4;15.5;11.8;23177;10
Lithuania;0.839;73.3;16.4;12.4;24500;7
Malta;0.839;80.6;14.4;10.3;27930;-1
SaudiArabia;0.837;74.3;16.3;8.7;52821;-27
Argentina;0.836;76.3;17.9;9.8;22050;11
UnitedArabEmirates;0.835;77.0;13.3;9.5;60868;-34
Chile;0.832;81.7;15.2;9.8;21290;11
Portugal;0.830;80.9;16.3;8.2;25757;-2
Hungary;0.828;75.2;15.4;11.6;22916;3
Bahrain;0.824;76.6;14.4;9.4;38599;-20
Latvia;0.819;74.2;15.2;11.5;22281;4
Croatia;0.818;77.3;14.8;11.0;19409;11
Kuwait;0.816;74.4;14.7;7.2;83961;-46
Montenegro;0.802;76.2;15.2;11.2;14558;27
Belarus;0.798;71.3;15.7;12.0;16676;14
RussianFederation;0.798;70.1;14.7;12.0;22352;-1
Oman;0.793;76.8;13.6;8.0;34858;-23
Romania;0.793;74.7;14.2;10.8;18108;10
Uruguay;0.793;77.2;15.5;8.5;19283;7
Bahamas;0.790;75.4;12.6;10.9;21336;-3
Kazakhstan;0.788;69.4;15.0;11.4;20867;-1
Barbados;0.785;75.6;15.4;10.5;12488;27
AntiguaandBarbuda;0.783;76.1;14.0;9.2;20070;-1
Bulgaria;0.782;74.2;14.4;10.6;15596;13
Palau;0.780;72.7;13.7;12.3;13496;18
Panama;0.780;77.6;13.3;9.3;18192;1
Malaysia;0.779;74.7;12.7;10.0;22762;-14
Mauritius;0.777;74.4;15.6;8.5;17470;0
Seychelles;0.772;73.1;13.4;9.4;23300;-19
TrinidadandTobago;0.772;70.4;12.3;10.9;26090;-25
Serbia;0.771;74.9;14.4;10.5;12190;20
Cuba;0.769;79.4;13.8;11.5;7301;47
Lebanon;0.769;79.3;13.8;7.9;16509;-1
CostaRica;0.766;79.4;13.9;8.4;13413;10
Iran(IslamicRepublicof);0.766;75.4;15.1;8.2;15440;4
Venezuela(BolivarianRepublicof);0.762;74.2;14.2;8.9;16159;-2
Turkey;0.761;75.3;14.5;7.6;18677;-12
SriLanka;0.757;74.9;13.7;10.8;9779;29
Mexico;0.756;76.8;13.1;8.5;16056;-4
Brazil;0.755;74.5;15.2;7.7;15175;-1
Georgia;0.754;74.9;13.8;12.1;7164;40
SaintKittsandNevis;0.752;73.8;12.9;8.4;20805;-21
Azerbaijan;0.751;70.8;11.9;11.2;16428;-11
Grenada;0.750;73.4;15.8;8.6;10939;14
